Code_UAI;services_num
0310025J;Trés bien
0310029N;Trés bien
0310038Y;Bien
0310040A;Bien
0310047H;Bien
0310051M;Trés bien
0310054R;Trés bien
0310083X;Trés bien
0310085Z;Bien
0310088C;Trés bien
0311231V;Bien
0311238C;Trés bien
0311330C;Bien
0311630D;Trés bien
0311632F;Bien
0311633G;Trés bien
0311688S;Trés bien
0311769E;Trés bien
0312071H;Trés bien
0312092F;Trés bien
0312611V;Bien
0312699R;Trés bien
0312754A;Bien
0320002D;Bien
0320006H;Bien
0320011N;Trés bien
0340040J;Trés bien
0340111L;Trés bien
0341321B;Trés bien
0341366A;Trés bien
0341893Y;Trés bien
0342326U;Bien
0460008J;Trés bien
0460022Z;Trés bien
0460528Z;Trés bien
0460529A;Bien
0460530B;Bien
0480015F;Trés bien
0480607Z;Trés bien
0650018S;Trés bien
0650033H;Trés bien
0660051X;Bien
0660480N;Bien
0660522J;Trés bien
0810004P;Bien
0810005R;Bien
0810006S;Trés bien
0810019F;Bien
0810025M;Bien
0810037A;Bien
0810038B;Bien
0810051R;Bien
0810127Y;Bien
0811030E;Bien
0811331G;Bien
0820001F;Bien
0820066B;Trés bien
0820683X;Trés bien
0820896D;Trés bien
0810003N;Bien
0810023K;Bien
0810044H;Trés bien
0810061B;Trés bien
0810787R;Bien
0810961E;Trés bien
0810995S;Bien
0820014V;Bien
0820016X;Bien
0820017Y;Bien
0820020B;Bien
0820029L;Trés bien
0820588U;Bien
0820823Z;Bien
0820891Y;Trés bien
0090012P;Trés bien
0090019X;Bien
0090020Y;Bien
0090025D;Trés bien
0090478W;Bien
0110025T;Bien
0110667R;Bien
0110675Z;Trés bien
0110859Z;Trés bien
0120006S;Bien
0120016C;Trés bien
0121297V;Bien
0300016E;Bien
0300020J;Trés bien
0300021K;Bien
0300026R;Bien
0300032X;Trés bien
0300037C;Trés bien
0300043J;Bien
0300950V;Trés bien
0301013N;Trés bien
0301094B;Trés bien
0301214G;Trés bien
0301325C;Bien
0310023G;Bien
0310025J;Trés bien
0310028M;Trés bien
0310031R;Trés bien
0310037X;Bien
0310039Z;Bien
0310085Z;Bien
0310092G;Trés bien
0311092U;Trés bien
0311111P;Trés bien
0311232W;Bien
0311235Z;Bien
0311265G;Trés bien
0311321T;Bien
0311327Z;Trés bien
0311333F;Trés bien
0311631E;Bien
0311633G;Trés bien
0311634H;Bien
0311686P;Trés bien
0311690U;Trés bien
0311851U;Trés bien
0312267W;Trés bien
0312338Y;Bien
0320002D;Bien
0320006H;Bien
0320010M;Trés bien
0320012P;Bien
0320563N;Bien
0340032A;Bien
0340075X;Trés bien
0340110K;Bien
0341368C;Bien
0341764H;Bien
0342077Y;Trés bien
0342090M;Trés bien
0460008J;Trés bien
0460028F;Bien
0480004U;Bien
0480006W;Trés bien
0480017H;Bien
0480607Z;Bien
0650005C;Trés bien
0650026A;Bien
0650033H;Trés bien
0650037M;Bien
0650040R;Bien
0650088T;Bien
0660431K;Bien
0660600U;Trés bien
0660648W;Bien
0810004P;Bien
0810005R;Bien
0810028R;Bien
0810038B;Bien
0810052S;Trés bien
0810959C;Bien
0810960D;Trés bien
0810993P;Bien
0811030E;Bien
0811331G;Bien
0820001F;Bien
0820004J;Trés bien
0820032P;Bien
0820684Y;Trés bien
0820891Y;Trés bien
0820896D;Trés bien
0090018W;Bien
0090024C;Bien
0090056M;Trés bien
0110019L;Bien
0110023R;Bien
0110068P;Trés bien
0120016C;Bien
0120032V;Bien
