Code_UAI;acces_ressources
0660925X;Très bien
0810002M;Très bien
0810008U;Mauvais
0810012Y;Mauvais
0810027P;Très bien
0810028R;Bien
0810033W;Bien
0810036Z;Très bien
0810043G;Bien
0810052S;Bien
0810126X;Très bien
0810959C;Très bien
0810960D;Très bien
0811032G;Mauvais
0820004J;Très bien
0820011S;Mauvais
0820067C;Bien
0820684Y;Très bien
0820713E;Très bien
0820917B;Assez bien
